113.955141,22.743766,我的信息1,1
113.862444,22.65128,我的信息2,1
113.922869,22.718434,我的信息3,1
113.841845,22.7102,我的信息4,1
113.890205,22.798043,我的信息5,1
114.018312,22.669655,我的信息6,1
114.026552,22.634169,我的信息7,1
114.025179,22.748832,我的信息8,2
114.08217,22.682327,我的信息9,2
113.983294,22.706399,我的信息10,2
114.20096,22.635437,我的信息11,2
114.089724,22.640507,我的信息12,2
114.126116,22.685494,我的信息13,2
114.251085,22.629099,我的信息14,2
114.435106,22.620226,我的信息15,2
114.567629,22.641774,我的信息16,3
114.316317,22.670289,我的信息17,3
114.316317,22.670289,我的信息18,3
114.030672,22.545414,我的信息19,3
114.167315,22.577119,我的信息20,3
114.280611,22.603112,我的信息21,3
113.936602,22.516239,我的信息22,3
113.960634,22.594871,我的信息23,3
